year,month,hour,incident,min_delay,line,season
2023,01,02,Held By,15,505,Winter
2023,01,02,Cleaning - Unsanitary,10,504,Winter
2023,01,02,Held By,25,504,Winter
2023,01,05,Security,15,510,Winter
2023,01,08,Cleaning - Unsanitary,10,501,Winter
2023,01,08,Operations,14,510,Winter
2023,01,09,Operations,10,506,Winter
2023,01,09,Operations,10,506,Winter
2023,01,09,Emergency Services,10,506,Winter
2023,01,10,Operations,10,506,Winter
2023,01,10,Operations,7,512,Winter
2023,01,11,Operations,10,506,Winter
2023,01,12,Operations,10,506,Winter
2023,01,14,Investigation,8,504,Winter
2023,01,14,Emergency Services,8,501,Winter
2023,01,14,Cleaning - Unsanitary,7,505,Winter
2023,01,15,Security,7,509,Winter
2023,01,15,Mechanical,9,506,Winter
2023,01,15,Investigation,6,512,Winter
2023,01,16,General Delay,7,505,Winter
2023,01,16,Mechanical,7,501,Winter
2023,01,16,Cleaning - Unsanitary,4,510,Winter
2023,01,18,Security,7,505,Winter
2023,01,18,Held By,14,501,Winter
2023,01,20,Mechanical,10,504,Winter
2023,01,20,Diversion,19,505,Winter
2023,01,21,Cleaning - Unsanitary,9,501,Winter
2023,01,23,General Delay,10,509,Winter
2023,01,23,Operations,8,505,Winter
2023,01,05,Operations,18,504,Winter
2023,01,06,General Delay,10,501,Winter
2023,01,09,General Delay,10,506,Winter
2023,01,10,Cleaning - Unsanitary,11,37,Winter
2023,01,12,Mechanical,7,501,Winter
2023,01,15,Emergency Services,18,512,Winter
2023,01,15,General Delay,10,505,Winter
2023,01,16,Cleaning - Unsanitary,7,501,Winter
2023,01,19,Diversion,24,501,Winter
2023,01,20,Cleaning - Unsanitary,8,512,Winter
2023,01,20,Held By,37,506,Winter
2023,01,21,Held By,10,504,Winter
2023,01,22,General Delay,10,505,Winter
2023,01,23,General Delay,10,509,Winter
2023,01,23,Operations,80,509,Winter
2023,01,00,Diversion,33,501,Winter
2023,01,01,Emergency Services,5,510,Winter
2023,01,01,Utilized Off Route,10,501,Winter
2023,01,01,Operations,8,504,Winter
2023,01,06,Cleaning - Unsanitary,9,505,Winter
2023,01,07,Operations,12,501,Winter
2023,01,08,Security,6,506,Winter
2023,01,08,General Delay,6,501,Winter
2023,01,08,Security,8,504,Winter
2023,01,12,Security,7,504,Winter
2023,01,12,Operations,11,509,Winter
2023,01,15,Operations,6,506,Winter
2023,01,15,Operations,6,506,Winter
2023,01,16,General Delay,9,506,Winter
2023,01,16,Emergency Services,8,505,Winter
2023,01,18,Cleaning - Unsanitary,9,506,Winter
2023,01,19,Operations,5,504,Winter
2023,01,19,Operations,12,506,Winter
2023,01,19,General Delay,8,505,Winter
2023,01,19,Held By,4,506,Winter
2023,01,21,Operations,8,501,Winter
